j,v1,v2,v3,time
0,0.0619867,0.0619867,1.96796,0.00210571
2,0.0589654,0.0589654,1.91096,0.00396729
4,0.0569512,0.0559945,1.85799,0.00576782
6,0.0559945,0.0559945,1.80597,0.00759887
8,0.0549874,0.0539803,1.76,0.00939941
10,0.0529732,0.0529732,1.71196,0.011261
12,0.050959,0.0519661,1.66498,0.0131836
14,0.0489952,0.0489952,1.61699,0.0149841
16,0.0489952,0.0479881,1.57399,0.0168152
18,0.0479881,0.0479881,1.53396,0.0186462
20,0.0459739,0.0459739,1.49297,0.0204773
22,0.0449668,0.0449668,1.45495,0.0222778
24,0.0439597,0.0429526,1.41497,0.0241089
26,0.0429526,0.0439597,1.37896,0.0259094
28,0.0409888,0.0409888,1.34397,0.0277405
30,0.0409888,0.0399817,1.30595,0.029541
32,0.0389746,0.0389746,1.27297,0.0313721
34,0.0449668,0.0389746,1.23999,0.0332031
36,0.0399817,0.0359533,1.20997,0.0350342
38,0.0359533,0.0359533,1.17699,0.0368347
40,0.0349965,0.0349965,1.14698,0.0386658
42,0.0339894,0.0339894,1.11798,0.0404663
44,0.0339894,0.0339894,1.08897,0.0422668
46,0.0329823,0.0319753,1.05997,0.0440979
48,0.0329823,0.0319753,1.03499,0.0458984
50,0.0309682,0.0309682,1.00599,0.0477295
52,0.0319753,0.0299611,0.979954,0.04953
54,0.0299611,0.0309682,0.954978,0.0513611
56,0.028954,0.028954,0.930959,0.0531616
58,0.0299611,0.0279972,0.907997,0.0549927
60,0.0279972,0.028954,0.884985,0.0567932
62,0.0269901,0.025983,0.856987,0.0585938
64,0.025983,0.0269901,0.840975,0.0604248
66,0.025983,0.0269901,0.81897,0.0622558
68,0.024976,0.025983,0.797972,0.0640869
70,0.0239689,0.0239689,0.777981,0.0658874
72,0.0239689,0.024976,0.758997,0.0677185
74,0.0229618,0.0229618,0.739963,0.069519
76,0.0219547,0.0229618,0.721986,0.0713501
78,0.0219547,0.0219547,0.703959,0.0731506
80,0.0209979,0.0199908,0.684976,0.0749817
82,0.0219547,0.0209979,0.668963,0.0767822
84,0.0199908,0.0199908,0.649979,0.0786133
86,0.0189837,0.0219547,0.634973,0.0804138
88,0.0199908,0.0209979,0.619968,0.0822449
90,0.0189837,0.0199908,0.602998,0.0840454
92,0.0189837,0.0179766,0.590963,0.0858765
94,0.0169695,0.0179766,0.57495,0.087677
96,0.0209979,0.0169695,0.559995,0.089508
98,0.0179766,0.0179766,0.548967,0.0913086
100,0.0179766,0.0159625,0.533962,0.0931396
102,0.0169695,0.0169695,0.521977,0.0949402
104,0.0159625,0.0159625,0.507979,0.0967712
106,0.0159625,0.0159625,0.494987,0.0985718
108,0.0159625,0.0139986,0.484967,0.100403
110,0.0149554,0.0139986,0.472982,0.102234
112,0.0139986,0.0159625,0.458984,0.104034
114,0.0129915,0.0139986,0.445992,0.106262
116,0.0149554,0.0139986,0.435971,0.108124
118,0.0149554,0.0139986,0.424994,0.109924
120,0.0129915,0.0139986,0.414973,0.111755
122,0.0119844,0.0139986,0.404953,0.113556
124,0.0139986,0.0119844,0.39599,0.115356
126,0.0129915,0.0129915,0.385969,0.117188
128,0.0109773,0.0119844,0.376956,0.118988
130,0.0109773,0.0129915,0.367993,0.120819
132,0.0109773,0.0109773,0.360993,0.12265
134,0.0119844,0.0119844,0.35198,0.124451
136,0.0109773,0.0109773,0.335967,0.126282
138,0.0109773,0.0109773,0.332996,0.128082
140,0.0119844,0.0109773,0.323982,0.129913
142,0.00997024,0.00896315,0.316983,0.131714
144,0.00997024,0.00997024,0.309984,0.133545
146,0.00997024,0.00896315,0.301977,0.135345
148,0.00896315,0.00997024,0.294978,0.137146
150,0.00997024,0.00896315,0.287979,0.138977
152,0.00997024,0.00896315,0.282994,0.140778
154,0.00997024,0.00795605,0.274987,0.142609
156,0.00699931,0.00795605,0.266981,0.145081
158,0.00699931,0.00795605,0.260989,0.146912
160,0.00896315,0.00795605,0.253989,0.148743
162,0.00795605,0.00795605,0.247997,0.150543
164,0.00795605,0.00795605,0.241955,0.152374
166,0.0139986,0.00795605,0.237977,0.154175
168,0.00795605,0.00795605,0.230977,0.156006
170,0.00699931,0.00795605,0.223978,0.158478
172,0.00795605,0.00795605,0.22,0.160339
174,0.00699931,0.00699931,0.211993,0.162842
176,0.00599222,0.00699931,0.203987,0.165497
178,0.00699931,0.00699931,0.199959,0.167358
180,0.00599222,0.00599222,0.199959,0.169159
182,0.00699931,0.00498512,0.190996,0.17099
184,0.00498512,0.00699931,0.186967,0.172791
186,0.00599222,0.00599222,0.181982,0.174622
188,0.00599222,0.00599222,0.177954,0.176453
190,0.00599222,0.00599222,0.173976,0.178253
192,0.00699931,0.00599222,0.16899,0.180084
194,0.00498512,0.00599222,0.165969,0.181915
196,0.00599222,0.00599222,0.163955,0.183716
198,0.00599222,0.00498512,0.15897,0.185547
200,0.00498512,0.00397803,0.154992,0.187378
202,0.00599222,0.00599222,0.152978,0.189178
204,0.00599222,0.00498512,0.149,0.19101
206,0.00498512,0.00498512,0.143964,0.19281
208,0.00498512,0.00498512,0.14195,0.194641
210,0.00498512,0.00599222,0.137972,0.196472
212,0.00599222,0.00599222,0.135958,0.198273
214,0.00498512,0.00397803,0.13198,0.200104
216,0.00599222,0.00397803,0.128958,0.201935
218,0.00498512,0.00498512,0.126995,0.203735
220,0.00498512,0.00297093,0.12498,0.205566
222,0.00599222,0.00397803,0.121959,0.207367
224,0.00498512,0.00896315,0.117981,0.209198
226,0.00397803,0.00397803,0.115967,0.211029
228,0.00297093,0.00498512,0.110982,0.21283
230,0.00397803,0.00397803,0.108968,0.214661
232,0.00297093,0.00397803,0.109975,0.216461
234,0.00397803,0.00397803,0.105997,0.218292
236,0.00297093,0.00397803,0.0999542,0.220093
238,0.00997024,0.00297093,0.101968,0.221924
240,0.00297093,0.00297093,0.0999542,0.223724
242,0.00297093,0.00297093,0.0969832,0.225555
244,0.00397803,0.00196384,0.094969,0.227356
246,0.00397803,0.00397803,0.093962,0.229187
248,0.00498512,0.00297093,0.0919981,0.231018
250,0.00297093,0.00397803,0.0879698,0.232819
252,0.00297093,0.00498512,0.0869626,0.23465
254,0.00297093,0.00397803,0.0849988,0.23645
