j,vdac,v1,v2,time
0,0.0,0.094969,0.0639505,0.399872
5,0.0646555,0.137972,0.0639505,0.802002
10,0.129361,0.196988,0.093962,1.20428
15,0.194067,0.253989,0.132987,1.60693
20,0.258773,0.314969,0.170954,2.00946
25,0.323479,0.375999,0.211993,2.41196
30,0.388185,0.434964,0.251975,2.81448
35,0.45289,0.497958,0.289993,3.21698
40,0.517596,0.556974,0.33496,3.61951
45,0.582302,0.613975,0.373985,4.02206
50,0.647008,0.677976,0.412959,4.42456
55,0.711714,0.738956,0.452991,4.82705
60,0.77642,0.798979,0.49398,5.22958
65,0.841126,0.863987,0.532955,5.63211
70,0.905832,0.928995,0.578979,6.07639
75,0.970537,0.984989,0.616997,6.47949
80,1.03524,1.04597,0.654964,6.88275
85,1.09995,1.10896,0.69696,7.28528
90,1.16465,1.16999,0.738956,7.6878
95,1.22936,1.22996,0.778988,8.09033
100,1.29407,1.28999,0.816955,8.49286
105,1.35877,1.35298,0.859958,8.89542
110,1.42348,1.41698,0.898983,9.29794
115,1.48818,1.47695,0.940979,9.70047
120,1.55289,1.53899,0.979954,10.103
125,1.6176,1.59695,1.02296,10.5056
130,1.6823,1.64297,1.06097,10.9081
135,1.74706,1.71795,1.09396,11.3106
140,1.81171,1.76398,1.14199,11.8037
145,1.87642,1.82496,1.17196,12.2068
150,1.94112,1.88297,1.21395,12.6101
155,2.00588,1.95397,1.25398,13.0126
160,2.07054,1.99697,1.29799,13.4151
165,2.13524,2.06298,1.33198,13.8177
170,2.19995,2.12195,1.37297,14.2202
175,2.2647,2.18998,1.41099,14.6227
180,2.32936,2.23998,1.45898,15.0252
185,2.39407,2.29295,1.49196,15.4277
190,2.45877,2.35197,1.52998,15.8302
195,2.52353,2.441,1.56996,16.2327
200,2.58818,2.48898,1.62097,16.6353
205,2.65289,2.54795,1.65199,17.0378
210,2.7176,2.61497,1.69096,17.4853
215,2.78235,2.67998,1.73296,17.8884
220,2.84701,2.67998,1.77898,18.2917
225,2.91171,2.67998,1.80995,18.6945
230,2.97642,2.67998,1.84998,19.097
235,3.04117,2.67998,1.88795,19.4996
240,3.10583,2.67998,1.93095,19.9021
245,3.17054,2.67998,1.95895,20.3046
250,3.23524,2.67998,1.98498,20.7072
